Container;Try;Size;Append Time;Finding Time;Regular Deleting Time;Clear Time;All Time
VectorContainer;0;1000;57;1165;1130;5;2357
VectorContainer;0;10000;530;116015;108969;40;225554
VectorContainer;0;100000;5031;12453968;13498137;490;25957626
DequeContainer;0;1000;26;1347;915;5;2293
DequeContainer;0;10000;246;135460;91423;48;227177
DequeContainer;0;100000;4479;15346047;13304355;829;28655710
ListContainer;0;1000;43;1063;1574;8;2688
ListContainer;0;10000;386;109800;192375;77;302638
ListContainer;0;100000;6522;16317370;39546541;959;55871392
ForwardListContainer;0;1000;37;1134;1710;7;2888
ForwardListContainer;0;10000;364;124831;203743;81;329019
ForwardListContainer;0;100000;6208;16234230;38823285;993;55064716
SetContainer;0;1000;204;60;78;12;354
SetContainer;0;10000;2349;1174;1669;145;5337
SetContainer;0;100000;45285;20240;26139;4602;96266
UnorderedSetContainer;0;1000;105;20;34;9;168
UnorderedSetContainer;0;10000;1112;291;575;196;2174
UnorderedSetContainer;0;100000;20860;6274;9183;2936;39253
MapContainer;0;1000;204;65;85;17;371
MapContainer;0;10000;3406;1142;1306;204;6058
MapContainer;0;100000;61870;28047;33695;6871;130483
UnorderedMapContainer;0;1000;110;20;35;9;174
UnorderedMapContainer;0;10000;1542;270;423;107;2342
UnorderedMapContainer;0;100000;23485;6401;9335;3590;42811
VectorContainer;1;1000;27;1152;1067;4;2250
VectorContainer;1;10000;490;115542;110399;40;226471
VectorContainer;1;100000;4905;12436453;13622484;499;26064341
DequeContainer;1;1000;25;1345;912;5;2287
DequeContainer;1;10000;453;134969;91069;49;226540
DequeContainer;1;100000;4880;15388324;13262130;822;28656156
ListContainer;1;1000;38;1087;1790;8;2923
ListContainer;1;10000;643;111603;191712;83;304041
ListContainer;1;100000;6766;16402067;38868169;979;55277981
ForwardListContainer;1;1000;36;1149;1728;9;2922
ForwardListContainer;1;10000;363;124961;196875;89;322288
ForwardListContainer;1;100000;6211;16669752;51891710;982;68568655
SetContainer;1;1000;166;60;77;12;315
SetContainer;1;10000;2476;980;1140;148;4744
SetContainer;1;100000;46584;20884;26946;4467;98881
UnorderedSetContainer;1;1000;100;20;34;8;162
UnorderedSetContainer;1;10000;1085;260;414;101;1860
UnorderedSetContainer;1;100000;21363;6445;9160;2886;39854
MapContainer;1;1000;198;64;85;17;364
MapContainer;1;10000;2846;1139;1306;203;5494
MapContainer;1;100000;62924;28272;33690;7489;132375
UnorderedMapContainer;1;1000;108;19;34;9;170
UnorderedMapContainer;1;10000;1194;279;424;114;2011
UnorderedMapContainer;1;100000;25266;6487;10019;3604;45376
VectorContainer;2;1000;28;1160;1085;4;2277
VectorContainer;2;10000;294;117913;112558;40;230805
VectorContainer;2;100000;4932;12396637;13517824;498;25919891
DequeContainer;2;1000;25;1349;914;5;2293
DequeContainer;2;10000;246;134630;91037;48;225961
DequeContainer;2;100000;4821;15309079;13289176;830;28603906
ListContainer;2;1000;38;1078;1790;8;2914
ListContainer;2;10000;388;111075;193294;77;304834
ListContainer;2;100000;6760;16297605;39308575;971;55613911
ForwardListContainer;2;1000;38;1323;1763;8;3132
ForwardListContainer;2;10000;361;131204;209402;84;341051
ForwardListContainer;2;100000;6312;16335498;38698483;1015;55041308
SetContainer;2;1000;361;60;77;12;510
SetContainer;2;10000;2366;1000;1841;146;5353
SetContainer;2;100000;47066;21289;26922;4128;99405
UnorderedSetContainer;2;1000;100;20;34;9;163
UnorderedSetContainer;2;10000;1087;264;416;100;1867
UnorderedSetContainer;2;100000;21107;6436;8983;3792;40318
MapContainer;2;1000;198;63;85;17;363
MapContainer;2;10000;3406;1113;1302;215;6036
MapContainer;2;100000;64172;28280;34034;6525;133011
UnorderedMapContainer;2;1000;114;22;35;9;180
UnorderedMapContainer;2;10000;1555;267;423;108;2353
UnorderedMapContainer;2;100000;24216;6458;9755;4201;44630
VectorContainer;3;1000;27;1162;1068;4;2261
VectorContainer;3;10000;497;118017;110933;40;229487
VectorContainer;3;100000;4911;12452942;13632269;488;26090610
DequeContainer;3;1000;25;1352;909;5;2291
DequeContainer;3;10000;453;134314;90895;49;225711
DequeContainer;3;100000;4864;15284564;13306409;847;28596684
ListContainer;3;1000;37;1075;1805;8;2925
ListContainer;3;10000;646;111788;191451;82;303967
ListContainer;3;100000;6813;16323152;39858892;969;56189826
ForwardListContainer;3;1000;36;1353;1795;8;3192
ForwardListContainer;3;10000;589;128710;203752;80;333131
ForwardListContainer;3;100000;6316;18636493;40988166;1000;59631975
SetContainer;3;1000;170;60;78;11;319
SetContainer;3;10000;2666;975;1149;146;4936
SetContainer;3;100000;45492;20201;25873;4285;95851
UnorderedSetContainer;3;1000;101;20;34;9;164
UnorderedSetContainer;3;10000;1405;261;415;102;2183
UnorderedSetContainer;3;100000;20616;5887;8732;2914;38149
MapContainer;3;1000;200;65;86;17;368
MapContainer;3;10000;3387;1123;1291;204;6005
MapContainer;3;100000;61286;27356;33135;6639;128416
UnorderedMapContainer;3;1000;109;20;35;9;173
